koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,0,1,1,3.55650403,6.840000000000001e-05,-6.840000000000001e-05,133.5416,0.0139,-0.0139,0.846,0.125,-0.596,6.862,0.486,-0.486,132.3,13.3,-13.3,0.56,0.07,-0.09,580,26.66,12.76,-10.17,11.8,1,3745,122,-133,4.819,0.077,-0.056,0.4270000000000001,0.06,-0.066,297.16284,46.27631,15.802
1,0,0,0,37.3683802,0.0003917,-0.0003917,135.1439,0.00999,-0.00999,0.8375,0.0238,-0.5843,2.8,0.23,-0.23,206.6,26.1,-26.1,10.58,0.73,-2.67,1075,315.59,70.95,-163.57,8.8,1,5101,90,-185,3.15,0.03,-0.03,6.4220000000000015,0.441,-1.6230000000000002,288.47919,46.058208,12.362
0,0,0,0,227.83457,0.01402,-0.01402,238.7643,0.0454,-0.0454,0.56,0.404,-0.34700000000000003,21.59,1.9,-1.9,155.3,15.6,-15.6,2.83,0.45,-0.83,449,9.59,3.97,-5.06,13.1,1,6004,80,-80,3.814,0.224,-0.096,2.193,0.34700000000000003,-0.644,292.0105,41.467098,13.845
0,0,0,0,30.5231459,6.61e-05,-6.61e-05,146.85072,0.00176,-0.00176,1.06,69.68,-0.391,2.7286,0.0888,-0.0888,2212.3,67.8,-67.8,11.26,2.33,-1.0,506,15.46,9.93,-4.09,38.7,1,5518,166,-166,4.585,0.034,-0.136,0.79,0.16399999999999998,-0.07,288.3133200000001,46.771431,15.841
0,0,0,0,85.272459,0.002575,-0.002575,182.3725,0.0247,-0.0247,0.965,0.01,-0.665,13.31,1.2,-1.2,767.8,48.7,-48.7,3.85,1.07,-0.71,443,9.1,7.6,-3.75,18.9,1,5922,178,-178,4.349,0.158,-0.193,1.057,0.293,-0.195,286.1307700000001,38.779629,15.417
1,0,0,0,438.81524,0.030310000000000007,-0.030310000000000007,307.9493,0.0267,-0.0267,0.108,0.3367,-0.1079,6.75,1.0,-1.0,332.8,55.4,-55.4,1.36,0.34,-0.13,202,0.39,0.31,-0.1,9.2,1,5324,173,-137,4.551,0.057,-0.153,0.755,0.189,-0.071,292.41116,42.039478,13.589
0,0,1,0,4.15713766,3.54e-05,-3.54e-05,132.21688999999998,0.00687,-0.00687,0.121,0.338,-0.121,1.808,0.211,-0.211,77.0,10.3,-10.3,1.17,0.41,-0.17,1401,908.82,931.37,-343.82,9.2,1,6470,177,-243,4.301,0.09,-0.21,1.324,0.461,-0.197,291.96689,47.698456,12.28
0,1,0,0,2.745910734,1.72e-07,-1.72e-07,133.1719105,5.15e-05,-5.15e-05,0.639,0.009000000000000001,-0.006999999999999999,4.02594,0.00177,-0.00177,286810.0,120.0,-120.0,61.16,17.39,-10.7,1221,524.18,460.23,-208.06,1550.9,1,5372,177,-160,4.396,0.14,-0.21,0.96,0.273,-0.168,295.13705,42.646999,15.316
0,0,0,0,73.90899499999998,0.001885,-0.001885,159.8067,0.0222,-0.0222,0.4947,0.0429,-0.4491,3.916,0.7959999999999999,-0.7959999999999999,100.5,21.3,-21.3,0.94,0.39,-0.08,421,7.44,8.86,-1.85,7.0,1,5865,146,-170,4.518,0.033,-0.29600000000000004,0.918,0.376,-0.07400000000000001,288.05573,50.65369000000001,13.144
0,0,0,0,7.41683033,7.900000000000001e-05,-7.900000000000001e-05,137.96389,0.00868,-0.00868,0.873,0.002,-0.621,7.274,0.225,-0.225,72.6,3.9,-3.9,3.36,0.62,-0.56,1425,973.85,470.28,-338.44,20.6,1,4938,69,-79,3.45,0.14300000000000002,-0.13,3.324,0.613,-0.551,290.62183,51.057301,13.007
0,0,0,0,3.546531809,9.98e-06,-9.98e-06,134.90126999999998,0.00246,-0.00246,0.633,0.29600000000000004,-0.421,2.2746,0.0765,-0.0765,442.7,18.9,-18.9,2.18,0.66,-0.23,1212,510.26,476.23,-159.23,26.4,1,5993,190,-232,4.489,0.052000000000000005,-0.208,0.986,0.302,-0.101,287.91635,42.437302,15.934
0,0,0,0,8.01078456,1.06e-05,-1.06e-05,170.20739,0.00106,-0.00106,0.192,0.096,-0.192,2.312,0.0336,-0.0336,1333.6,29.3,-29.3,1.72,0.13,-0.2,453,9.9,2.52,-2.88,48.5,1,3713,74,-92,4.779,0.063,-0.031,0.47,0.036000000000000004,-0.054000000000000006,294.77393,43.056301,15.847
0,1,0,0,5.194256813,4.16e-07,-4.16e-07,134.5723735,6.51e-05,-6.51e-05,0.378,0.015,-0.004,7.25775,0.00373,-0.00373,38851.0,19.9,-19.9,41.77,5.67,-10.53,1546,1349.96,497.38,-630.47,2390.4,1,6100,91,-73,3.895,0.196,-0.084,2.086,0.28300000000000003,-0.526,294.5957,39.193748,12.739
0,0,0,0,39.399926,0.001194,-0.001194,160.2611,0.0223,-0.0223,0.544,0.4370000000000001,-0.339,5.729,0.7190000000000001,-0.7190000000000001,341.4,44.3,-44.3,1.52,0.32,-0.13,499,14.66,9.17,-3.81,9.4,1,5913,147,-177,4.581,0.036000000000000004,-0.14400000000000002,0.795,0.17,-0.068,298.5697,46.753971,15.453
0,1,0,0,2.581595167,1.06e-06,-1.06e-06,132.94741399999998,0.000349,-0.000349,0.124,0.07400000000000001,-0.049,4.9153,0.0237,-0.0237,171130.0,614.0,-614.0,40.94,11.59,-6.25,1328,735.27,609.16,-267.06,338.2,1,5720,152,-169,4.407,0.12,-0.18,0.989,0.28,-0.151,290.0268200000001,50.455391,15.35
0,0,0,0,474.9695200000001,0.04683,-0.04683,281.948,0.0746,-0.0746,0.5688,0.1308,-0.4611,4.58,1.3,-1.3,595.0,220.0,-220.0,2.44,1.02,-0.23,249,0.91,1.12,-0.26,6.4,1,6287,168,-209,4.473,0.052000000000000005,-0.298,0.962,0.402,-0.092,290.57974,48.214218,15.087
0,0,0,0,2.090811305,9.57e-06,-9.57e-06,134.17462,0.00398,-0.00398,0.746,0.053,-0.521,3.388,0.106,-0.106,115.9,6.4,-6.4,1.62,0.28,-0.32,1642,1718.04,847.46,-675.28,19.9,5,5739,114,-103,4.191,0.162,-0.108,1.384,0.242,-0.266,287.89713,40.637821,15.084
0,1,0,0,0.784031658,1e-06,-1e-06,133.38391,0.001,-0.001,0.102,0.35600000000000004,-0.102,0.7773,0.0515,-0.0515,352.2,18.6,-18.6,1.55,0.32,-0.11,1705,1995.65,1336.95,-468.82,28.2,1,5435,179,-163,4.578,0.027000000000000003,-0.14400000000000002,0.8240000000000001,0.174,-0.058,294.13202,39.981979,15.479
0,0,0,0,8.48651582,5.34e-05,-5.34e-05,138.01698000000002,0.004529999999999999,-0.004529999999999999,0.009000000000000001,0.438,-0.009000000000000001,5.267,0.139,-0.139,110.8,5.8,-5.8,1.34,0.25,-0.19,1060,298.03,152.93,-96.48,21.1,2,6178,111,-135,4.269,0.125,-0.125,1.267,0.237,-0.17800000000000002,296.80344,46.74115,13.573
0,0,1,0,5.81289843,9.68e-05,-9.68e-05,131.5613,0.0134,-0.0134,0.499,0.458,-0.293,3.979,0.415,-0.415,76.3,10.6,-10.6,0.93,0.3,-0.12,1102,348.61,321.65,-120.45,9.5,1,6175,168,-205,4.41,0.087,-0.203,1.041,0.327,-0.14,285.56747,38.040691,14.51
